epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7092,1.04152,2.09907,1.11512,0.00173,0.31212,0.01438,0.00386,1.86588,3.92005,2.29903,0.078022,2.2e-05,2.2e-05
2,123.072,0.98473,1.55363,1.10558,0.00502,0.54848,0.11191,0.08379,1.05409,3.61959,1.26344,0.055045,4.49996e-05,4.49996e-05
3,173.99,0.915,1.29223,1.05108,0.33797,0.63906,0.4637,0.37841,0.7971,3.2789,1.06376,0.032068,6.79987e-05,6.79987e-05
4,217.832,0.89386,1.20259,1.03868,0.95037,0.28485,0.63408,0.49381,0.84053,2.64863,1.08607,0.009091,9.09973e-05,9.09973e-05
5,264.309,0.85068,1.07589,1.01305,0.84382,0.43187,0.73312,0.58086,0.77937,1.9988,1.04671,9.9996e-05,9.9996e-05,9.9996e-05
6,309.009,0.82939,1.04341,1.00117,0.82798,0.76576,0.82374,0.64092,0.77869,1.38565,1.05311,9.9995e-05,9.9995e-05,9.9995e-05
7,352.64,0.8177,1.01039,1.00515,0.92739,0.76035,0.85421,0.66699,0.74698,1.06748,1.056,9.99941e-05,9.99941e-05,9.99941e-05
8,399.613,0.80445,0.97916,0.99752,0.90369,0.77147,0.85804,0.67513,0.74991,0.97785,1.05955,9.99931e-05,9.99931e-05,9.99931e-05
9,443.516,0.77969,0.93143,0.98627,0.89355,0.79422,0.85627,0.67023,0.73717,0.94096,1.03667,9.99921e-05,9.99921e-05,9.99921e-05
10,492.594,0.7661,0.896,0.9801,0.88452,0.7787,0.86607,0.67176,0.71231,0.90281,1.02172,9.99911e-05,9.99911e-05,9.99911e-05
11,536.075,0.77111,0.88148,0.97948,0.90429,0.81136,0.87436,0.68388,0.71264,0.86267,1.04087,9.99901e-05,9.99901e-05,9.99901e-05
12,578.54,0.78232,0.86475,0.97015,0.92152,0.79842,0.86735,0.68149,0.73017,0.85508,1.03096,9.99891e-05,9.99891e-05,9.99891e-05
13,623.104,0.76168,0.84164,0.96773,0.89568,0.82102,0.8694,0.68193,0.71989,0.82828,1.01072,9.99881e-05,9.99881e-05,9.99881e-05
14,666.646,0.72886,0.79959,0.94491,0.93293,0.79524,0.8765,0.69146,0.72341,0.80569,1.00879,9.99871e-05,9.99871e-05,9.99871e-05
15,709.717,0.73567,0.80127,0.96003,0.94865,0.79966,0.87767,0.68006,0.73768,0.78872,1.02952,9.99861e-05,9.99861e-05,9.99861e-05
16,751.479,0.71945,0.77955,0.94903,0.95324,0.78247,0.87026,0.68032,0.72133,0.78052,1.01807,9.99852e-05,9.99852e-05,9.99852e-05
17,794.246,0.72504,0.77504,0.95405,0.96562,0.76634,0.86028,0.67672,0.73093,0.79212,1.02778,9.99842e-05,9.99842e-05,9.99842e-05
18,837.13,0.72437,0.76539,0.95126,0.96971,0.78788,0.87896,0.69341,0.72632,0.78706,1.02245,9.99832e-05,9.99832e-05,9.99832e-05
19,880.88,0.72719,0.75461,0.94376,0.95928,0.79394,0.87072,0.69365,0.74889,0.79991,1.04534,9.99822e-05,9.99822e-05,9.99822e-05
20,923.534,0.72084,0.74491,0.94274,0.94305,0.79897,0.87533,0.68621,0.75227,0.77737,1.04593,9.99812e-05,9.99812e-05,9.99812e-05
21,967.01,0.72384,0.75847,0.9552,0.95372,0.77576,0.8773,0.69881,0.70085,0.76523,1.00517,9.99802e-05,9.99802e-05,9.99802e-05
22,1011.65,0.70564,0.73729,0.94162,0.94081,0.76876,0.87962,0.70219,0.69902,0.75703,0.98899,9.99792e-05,9.99792e-05,9.99792e-05
23,1055.56,0.67719,0.71272,0.93975,0.95576,0.77826,0.87797,0.69967,0.70601,0.74731,0.99996,9.99782e-05,9.99782e-05,9.99782e-05
24,1100.9,0.70413,0.72985,0.93413,0.92414,0.79511,0.87675,0.69361,0.70377,0.73452,0.99957,9.99772e-05,9.99772e-05,9.99772e-05
25,1145.04,0.70693,0.73451,0.9398,0.91677,0.78301,0.87899,0.6903,0.7088,0.75122,1.01466,9.99762e-05,9.99762e-05,9.99762e-05
26,1190.43,0.71059,0.70575,0.93829,0.9554,0.78806,0.89201,0.7108,0.71179,0.7374,1.02836,9.99753e-05,9.99753e-05,9.99753e-05
27,1236.5,0.69613,0.70352,0.93471,0.96656,0.78585,0.88772,0.70439,0.71101,0.71274,1.00496,9.99743e-05,9.99743e-05,9.99743e-05
28,1283.5,0.67961,0.68877,0.93325,0.9639,0.78361,0.88372,0.71424,0.68165,0.69906,0.98723,9.99733e-05,9.99733e-05,9.99733e-05
29,1328.51,0.67436,0.69967,0.9279,0.92214,0.79832,0.88639,0.72867,0.66537,0.67712,0.97916,9.99723e-05,9.99723e-05,9.99723e-05
30,1375.18,0.66516,0.66844,0.92706,0.97003,0.77379,0.89457,0.71251,0.69777,0.68777,0.99607,9.99713e-05,9.99713e-05,9.99713e-05
31,1419.01,0.67841,0.68556,0.92965,0.90083,0.81111,0.89889,0.72039,0.68298,0.69773,0.97082,9.99703e-05,9.99703e-05,9.99703e-05
32,1468.03,0.65489,0.66418,0.92236,0.95352,0.79303,0.90007,0.72121,0.66636,0.67139,0.95369,9.99693e-05,9.99693e-05,9.99693e-05
33,1512.08,0.66554,0.66766,0.92939,0.83879,0.8689,0.89532,0.71913,0.67007,0.67512,0.97062,9.99683e-05,9.99683e-05,9.99683e-05
34,1555.87,0.66108,0.65873,0.90974,0.83616,0.8747,0.89384,0.7099,0.68368,0.67584,0.97897,9.99673e-05,9.99673e-05,9.99673e-05
35,1599.55,0.67215,0.65257,0.92185,0.86715,0.85758,0.89939,0.70985,0.66427,0.67142,0.96651,9.99663e-05,9.99663e-05,9.99663e-05
36,1647.59,0.65448,0.6434,0.91491,0.84245,0.85917,0.88622,0.72053,0.66557,0.66574,0.95964,9.99654e-05,9.99654e-05,9.99654e-05
